"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9046","[@end2end] Verify product details-1","chromium","2026-04-30","passed","2026-04-30","","e2e/End2EndTest.spec.js","",""
"","9987","Verify product details","chromium","2026-04-30","passed","2026-04-30","","e2e/End2EndTest.spec.js","",""
